日付,始値,高値,安値,終値,出来高,証券コード
4.6302549365,3.4212747912,3.4224256764,3.4192947218,3.4194600728,4.3364597338,1301
4.63028546,3.4229179808,3.4230819583,3.4201208481,3.4212747912,4.1553360375,1301
4.6302956341,3.4212747912,3.4216039269,3.4194600728,3.4204508591,4.1702617154,1301
4.6303058079,3.4197905861,3.4224256764,3.4196253609,3.4202858849,4.3159703455,1301
4.6303159815,3.4202858849,3.4234097277,3.4199557485,3.4234097277,4.3074960379,1301
4.6303261548,3.4239009185,3.4255342205,3.4209454059,3.4220971631,4.2552725051,1301
4.6303566734,3.4265112614,3.4278105727,3.4248816366,3.4252080511,4.2278867046,1301
4.6303668458,3.4276483712,3.4276483712,3.4240645254,3.4247183373,4.1271047984,1301
4.6303871898,3.4250448746,3.4279727136,3.4247183373,3.4276483712,4.3031960574,1301
4.6303973615,3.4278105727,3.42975228,3.4252080511,3.4292676664,4.4409090821,1301
4.630427875,3.4313637642,3.4321672694,3.4291060083,3.4321672694,4.2479732664,1301
4.6304380457,3.42975228,3.4342494524,3.42975228,3.4342494524,4.3502480183,1301
4.6304482162,3.4337698339,3.4339297656,3.4318460457,3.4318460457,4.2718416065,1301
4.6304583864,3.4337698339,3.4339297656,3.4294292644,3.4308809465,4.348304863,1301
4.6304685564,3.4334497938,3.4334497938,3.4265112614,3.4278105727,4.1139433523,1301
4.630499065,3.4256972134,3.4273237864,3.4245549766,3.4256972134,4.2174839442,1301
4.6305092341,3.4248816366,3.4273237864,3.4245549766,3.4256972134,4.2833012287,1301
4.6305194029,3.4271614029,3.4299136978,3.4248816366,3.4253711664,4.2380461031,1301
4.6305295714,3.4268364538,3.4268364538,3.4245549766,3.4250448746,4.5465426635,1301
4.6305397398,3.4245549766,3.4261858252,3.4224256764,3.4260230157,4.480006943,1301
4.6305702433,3.4265112614,3.4313637642,3.4256972134,3.4307198879,4.4653828514,1301
4.6305804107,3.4313637642,3.4390167284,3.4313637642,3.438384107,4.6928469193,1301
4.6305905778,3.4390167284,3.4390167284,3.434568904,3.4356851379,4.4785664956,1301
4.6306007447,3.436162647,3.4387005329,3.4352071032,3.4360035357,4.3222192947,1301
4.6306109114,3.4360035357,3.436162647,3.4320066873,3.4355258515,4.5378190951,1301
4.63064141,3.4356851379,3.437116093,3.4323277923,3.4337698339,4.5634810854,1301
4.6306515757,3.4353665066,3.4375920323,3.4337698339,3.4366396317,4.50242712,1301
4.6306617412,3.437116093,3.4385423488,3.4352071032,3.4363217001,4.2174839442,1301
4.6306719064,3.4356851379,3.4360035357,3.434568904,3.4360035357,4.1931245984,1301
4.630712565,3.4353665066,3.4375920323,3.4352071032,3.4367985102,4.1492191127,1301
4.630722729,3.4375920323,3.4377505628,3.434568904,3.4348881209,4.206825876,1301
4.6307328928,3.4344092076,3.4353665066,3.4323277923,3.4353665066,4.2329961104,1301
4.6307430564,3.4352071032,3.4353665066,3.4313637642,3.4331295176,4.2671717284,1301
4.6307532197,3.4315245842,3.4366396317,3.4310419453,3.436162647,4.372912003,1301
4.6308040328,3.4367985102,3.4401216032,3.436162647,3.4380674505,4.4969296481,1301
4.6308141947,3.4382258076,3.4388586594,3.4369573307,3.4374334438,4.252853031,1301
4.6308243564,3.4367985102,3.438384107,3.434568904,3.4377505628,4.2988530764,1301
4.6308650007,3.4385423488,3.4399639359,3.4369573307,3.4390167284,4.383815366,1301
4.6308751612,3.4390167284,3.4396484296,3.4372747974,3.4385423488,3.9684829486,1301
4.6308853214,3.4385423488,3.4388586594,3.4318460457,3.4363217001,4.4578818967,1301
4.6308954814,3.4324882558,3.436162647,3.4324882558,3.4348881209,4.2878017299,1301
4.63092596,3.4353665066,3.4353665066,3.4307198879,3.4320066873,4.3031960574,1301
4.6309361191,3.4316853447,3.4320066873,3.4284587735,3.4291060083,4.264817823,1301
4.6309462779,3.4295908022,3.4305587695,3.428296814,3.4303975914,4.0827853703,1301
4.6309564365,3.4303975914,3.4340896384,3.4303975914,3.4312028846,4.1205739312,1301
4.6309665948,3.4352071032,3.4372747974,3.4321672694,3.4372747974,4.414973348,1301
4.6309970684,3.436162647,3.4363217001,3.4332896852,3.434568904,4.1003705451,1301
4.6310072258,3.4342494524,3.435844366,3.4342494524,3.4356851379,4.3283796034,1301
4.6310173829,3.436480695,3.4372747974,3.4352071032,3.4363217001,4.1789769473,1301
4.6310275399,3.4374334438,3.4375920323,3.4360035357,3.4366396317,4.2095150145,1301
4.6310376965,3.4375920323,3.4375920323,3.4355258515,3.4356851379,4.2810333672,1301
4.6310681651,3.4355258515,3.4367985102,3.4353665066,3.4367985102,4.2174839442,1301
4.6310783209,3.436162647,3.4363217001,3.4337698339,3.4348881209,4.206825876,1301
4.6310884764,3.4340896384,3.4369573307,3.4340896384,3.4369573307,4.220108088,1301
4.6310986316,3.4369573307,3.437116093,3.4353665066,3.4360035357,4.2304489214,1301
4.6311087866,3.4348881209,3.4366396317,3.434568904,3.434568904,4.2121876044,1301
4.6311392503,3.4366396317,3.4369573307,3.4342494524,3.4353665066,4.2504200023,1301
4.6311494043,3.4353665066,3.437116093,3.4352071032,3.4363217001,4.2695129442,1301
